generation,Individual,Fitness,Genome,steric_stiff,steric_range,surface_stiff,anchor_density,anchor_stiff,hydrolysis
gen0021,25,0.499789,00000110100011011010100101001001,160.9375,0.04875,42.34375,33.125,190.625,0.21406250000000002
gen0021,26,0.761185,00000011100110001011001011010101,100.0,0.05671875,27.03125,38.75,359.375,0.2328125
gen0021,27,2.239753,00000011110101100001111011000100,100.0,0.05859375,19.375,24.6875,359.375,0.20625000000000002
gen0021,28,5.688076,00000000010101101010111110010001,100.0,0.03234375,20.90625,35.9375,443.75,0.2265625
gen0021,29,1.645223,00010011110111111000010011101100,343.75,0.05859375,48.46875,7.8125,134.375,0.26875
gen0021,30,2.105575,00000011100001011100101101010010,100.0,0.056249999999999994,18.609375,10.625,415.625,0.228125
gen0021,31,1.030051,00000011100011011101111001001100,100.0,0.056249999999999994,43.109375,24.6875,303.125,0.21875
gen0021,32,1.593625,00011011100011010000110011111000,465.625,0.056249999999999994,40.8125,13.4375,134.375,0.2875
gen0021,33,0.537462,00000011100111101001111010001001,100.0,0.05671875,45.40625,24.6875,331.25,0.21406250000000002
gen0021,34,0.977237,00000011100111101101111010001001,100.0,0.05671875,46.171875,24.6875,331.25,0.21406250000000002
gen0021,35,4.092944,00000001000011101101000001111000,100.0,0.0375,46.171875,16.25,78.125,0.2875
gen0021,36,1.417814,00000111110011011100101101010011,160.9375,0.058124999999999996,43.109375,10.625,415.625,0.2296875
gen0021,37,0.371322,00000011111110111001111010001000,100.0,0.059531249999999994,36.21875,24.6875,331.25,0.21250000000000002
gen0021,38,0.640207,00000011100011011001101010001010,100.0,0.056249999999999994,42.34375,21.875,331.25,0.215625
gen0021,39,0.499156,00000011100011010001111010001000,100.0,0.056249999999999994,40.8125,24.6875,331.25,0.21250000000000002
gen0021,40,1.382853,00000011101101011101101111110010,100.0,0.05765625,18.609375,21.875,471.875,0.278125
gen0021,41,2.121469,00001111100011101110101111010110,282.8125,0.056249999999999994,46.171875,33.125,471.875,0.234375
gen0021,42,1.237968,00000011100111011101111011101000,100.0,0.05671875,43.109375,24.6875,359.375,0.2625
gen0021,43,0.505573,00000011100111010101111011011100,100.0,0.05671875,41.578125,24.6875,359.375,0.24375
gen0021,44,1.262677,00000011111101011101010001010001,100.0,0.059531249999999994,18.609375,19.0625,78.125,0.2265625
gen0021,45,0.945303,00000111100010100101011101000100,160.9375,0.056249999999999994,32.390625,19.0625,415.625,0.20625000000000002
gen0021,46,1.907203,00010111110001101010111100101000,404.6875,0.058124999999999996,20.90625,35.9375,387.5,0.2625
gen0021,47,1.174705,00000110110001110110010011001001,160.9375,0.050624999999999996,23.203125,30.3125,134.375,0.21406250000000002
gen0021,48,1.728272,00000011000001110000111001001001,100.0,0.0525,22.4375,13.4375,303.125,0.21406250000000002
gen0021,49,0.412186,00000011100011011011110001000000,100.0,0.056249999999999994,42.34375,47.1875,78.125,0.2
gen0021,50,0.444716,00000111000001100101111001001101,160.9375,0.0525,20.140625,24.6875,303.125,0.22031250000000002
gen0021,51,1.663142,00001011110011011101111101010010,221.875,0.058124999999999996,43.109375,24.6875,415.625,0.228125
gen0021,52,0.748591,00000111100010100000101101010010,160.9375,0.056249999999999994,31.625,10.625,415.625,0.228125
gen0021,53,2.485777,00100011100011011101111101010011,587.5,0.056249999999999994,43.109375,24.6875,415.625,0.2296875
gen0021,54,0.498963,00000011100011110101111111001000,100.0,0.056249999999999994,47.703125,24.6875,471.875,0.21250000000000002
gen0021,55,1.690876,00011111110001110001111101010011,526.5625,0.058124999999999996,22.4375,24.6875,415.625,0.2296875
gen0021,56,1.022499,00000111100010100101111001000001,160.9375,0.056249999999999994,32.390625,24.6875,303.125,0.2015625
gen0021,57,0.761001,00001011101101100101010001001001,221.875,0.05765625,20.140625,19.0625,78.125,0.21406250000000002
gen0021,58,1.403766,00000111110001101010110101110000,160.9375,0.058124999999999996,20.90625,35.9375,190.625,0.275
gen0021,59,1.528813,00000011100111011010111011101010,100.0,0.05671875,42.34375,35.9375,359.375,0.265625
gen0021,60,0.571643,00000110110001110001101011111100,160.9375,0.050624999999999996,22.4375,21.875,359.375,0.29374999999999996
gen0021,61,0.833159,00000011100101101010111001101100,100.0,0.05671875,20.90625,35.9375,303.125,0.26875
gen0021,62,0.946217,00000011000001110001111001110011,100.0,0.0525,22.4375,24.6875,303.125,0.2796875
gen0021,63,2.254148,00000001010011101101000001110001,100.0,0.039375,46.171875,16.25,78.125,0.2765625
gen0021,64,2.169782,00000011101101011101111011100101,100.0,0.05765625,18.609375,24.6875,359.375,0.2578125
gen0021,65,4.403176,00000101000001110001010111101110,160.9375,0.0375,22.4375,19.0625,246.875,0.271875
gen0021,66,1.707497,00000111110011011010100000101001,160.9375,0.058124999999999996,42.34375,33.125,50.0,0.2640625
gen0021,67,0.768755,00000011100011011110100001011010,100.0,0.056249999999999994,43.109375,33.125,78.125,0.240625
gen0021,68,0.637586,00000011100111101101111110011001,100.0,0.05671875,46.171875,24.6875,443.75,0.2390625
gen0021,69,2.037062,00010011100111110001111010001100,343.75,0.05671875,46.9375,24.6875,331.25,0.21875
gen0021,70,0.606733,00000011101011011010111001010000,100.0,0.0571875,42.34375,35.9375,303.125,0.225
gen0021,71,1.693651,00000111110001101011111100101001,160.9375,0.058124999999999996,20.90625,47.1875,387.5,0.2640625
gen0021,72,1.561701,00001100110111101110100011111101,282.8125,0.03609375,46.171875,33.125,134.375,0.2953125
gen0021,73,0.819672,00000011100101101001100001111000,100.0,0.05671875,20.90625,21.875,78.125,0.2875
gen0021,74,1.995648,00000010000011101000100101110010,100.0,0.045,45.40625,10.625,190.625,0.278125
gen0021,75,1.203945,00000011100011101101101011010101,100.0,0.056249999999999994,46.171875,21.875,359.375,0.2328125
gen0021,76,0.79818,00000011100011111101111101010011,100.0,0.056249999999999994,49.234375,24.6875,415.625,0.2296875
gen0021,77,2.01788,11000011100011101000111001001000,3025.0,0.056249999999999994,45.40625,13.4375,303.125,0.21250000000000002
gen0021,78,2.358691,00000011100101110100000000101100,100.0,0.05671875,23.203125,5.0,50.0,0.26875
gen0021,79,1.043016,00000011100011011101110010011001,100.0,0.056249999999999994,43.109375,24.6875,106.25,0.2390625
gen0021,80,0.529811,00000011100001110001100101011000,100.0,0.056249999999999994,22.4375,21.875,190.625,0.2375
gen0021,81,1.866299,00000111110011101010110001000000,160.9375,0.058124999999999996,45.40625,35.9375,78.125,0.2
